run,eval_loss,eval_precision,eval_recall,eval_f1,eval_accuracy,eval_runtime,eval_samples_per_second,eval_steps_per_second,epoch,trainsize
1,1.30993270874023,0.583333333333333,0.263299865128128,0.362829117191533,0.671538167806436,24.1617,71.146,4.47,3,0.8
1,0.979197859764099,0.725745900019759,0.550427094260453,0.626043974774161,0.827368347970979,24.1973,71.041,4.463,3,1.5
1,0.598018705844879,0.840427066801327,0.872920725310954,0.856365774772126,0.924740514458291,24.1981,71.039,4.463,3,3.1
1,0.346236437559128,0.902925338378693,0.929716769069384,0.916125221500295,0.943694240983094,24.2512,70.883,4.453,3,6.2
1,0.257866412401199,0.912993207110854,0.94665068185224,0.929517363154797,0.950498142812511,24.2323,70.938,4.457,3,12.5
1,0.212765470147133,0.918092200637866,0.949048404016185,0.933313683590008,0.951435415003298,24.3482,70.601,4.436,3,25
1,0.170213535428047,0.944932281589522,0.951446126180129,0.948178016726404,0.956607768945048,24.181,71.089,4.466,3,50
1,0.156880095601082,0.946784922394678,0.959838153753934,0.953266855186784,0.957822751414587,24.2272,70.953,4.458,3,100
2,1.28207063674927,0.575086505190311,0.124531694889855,0.204730229120473,0.620057624882841,24.1282,71.244,4.476,3,0.8
2,0.979197859764099,0.725745900019759,0.550427094260453,0.626043974774161,0.827368347970979,24.2373,70.924,4.456,3,1.5
2,0.598018705844879,0.840427066801327,0.872920725310954,0.856365774772126,0.924740514458291,24.1705,71.12,4.468,3,3.1
2,0.346236437559128,0.902925338378693,0.929716769069384,0.916125221500295,0.943694240983094,24.2583,70.862,4.452,3,6.2
2,0.257866412401199,0.912993207110854,0.94665068185224,0.929517363154797,0.950498142812511,24.2636,70.847,4.451,3,12.5
2,0.212765470147133,0.918092200637866,0.949048404016185,0.933313683590008,0.951435415003298,24.1622,71.144,4.47,3,25
2,0.170213535428047,0.944932281589522,0.951446126180129,0.948178016726404,0.956607768945048,24.2529,70.878,4.453,3,50
2,0.156880095601082,0.946784922394678,0.959838153753934,0.953266855186784,0.957822751414587,24.1861,71.074,4.465,3,100
3,1.28207063674927,0.575086505190311,0.124531694889855,0.204730229120473,0.620057624882841,24.2238,70.963,4.458,3,0.8
3,0.979197859764099,0.725745900019759,0.550427094260453,0.626043974774161,0.827368347970979,24.1758,71.104,4.467,3,1.5
3,0.598018705844879,0.840427066801327,0.872920725310954,0.856365774772126,0.924740514458291,24.3947,70.466,4.427,3,3.1
3,0.346236437559128,0.902925338378693,0.929716769069384,0.916125221500295,0.943694240983094,24.2191,70.977,4.459,3,6.2
3,0.257866412401199,0.912993207110854,0.94665068185224,0.929517363154797,0.950498142812511,24.1708,71.119,4.468,3,12.5
3,0.212765470147133,0.918092200637866,0.949048404016185,0.933313683590008,0.951435415003298,24.1838,71.081,4.466,3,25
3,0.170213535428047,0.944932281589522,0.951446126180129,0.948178016726404,0.956607768945048,24.3129,70.703,4.442,3,50
3,0.156880095601082,0.946784922394678,0.959838153753934,0.953266855186784,0.957822751414587,24.3747,70.524,4.431,3,100
4,1.28207063674927,0.575086505190311,0.124531694889855,0.204730229120473,0.620057624882841,24.1608,71.148,4.47,3,0.8
4,0.979197859764099,0.725745900019759,0.550427094260453,0.626043974774161,0.827368347970979,24.064,71.435,4.488,3,1.5
4,0.598018705844879,0.840427066801327,0.872920725310954,0.856365774772126,0.924740514458291,24.2396,70.917,4.456,3,3.1
4,0.346236437559128,0.902925338378693,0.929716769069384,0.916125221500295,0.943694240983094,24.5532,70.011,4.399,3,6.2
4,0.257866412401199,0.912993207110854,0.94665068185224,0.929517363154797,0.950498142812511,24.3075,70.719,4.443,3,12.5
4,0.212765470147133,0.918092200637866,0.949048404016185,0.933313683590008,0.951435415003298,24.3073,70.719,4.443,3,25
4,0.170213535428047,0.944932281589522,0.951446126180129,0.948178016726404,0.956607768945048,24.308,70.717,4.443,3,50
4,0.156880095601082,0.946784922394678,0.959838153753934,0.953266855186784,0.957822751414587,24.328,70.659,4.439,3,100
5,1.28207063674927,0.575086505190311,0.124531694889855,0.204730229120473,0.620057624882841,24.2376,70.923,4.456,3,0.8
5,0.979197859764099,0.725745900019759,0.550427094260453,0.626043974774161,0.827368347970979,24.1779,71.098,4.467,3,1.5
5,0.598018705844879,0.840427066801327,0.872920725310954,0.856365774772126,0.924740514458291,24.3241,70.671,4.44,3,3.1
5,0.346236437559128,0.902925338378693,0.929716769069384,0.916125221500295,0.943694240983094,24.3446,70.611,4.436,3,6.2
5,0.257866412401199,0.912993207110854,0.94665068185224,0.929517363154797,0.950498142812511,24.2663,70.839,4.451,3,12.5
5,0.212765470147133,0.918092200637866,0.949048404016185,0.933313683590008,0.951435415003298,24.2958,70.753,4.445,3,25
5,0.170213535428047,0.944932281589522,0.951446126180129,0.948178016726404,0.956607768945048,24.3533,70.586,4.435,3,50
5,0.156880095601082,0.946784922394678,0.959838153753934,0.953266855186784,0.957822751414587,24.3669,70.547,4.432,3,100
